code,product_name,brands,energy_kcal
6111259090132,Pizzarella premium,Gastro mixte,5280.0
3088543506255,Sirop d'Agave,Sunny Via,1600.0
72486002205,Corn Muffin Mix,Jiffy,990.0
36000291452,penaut butter creamy,Alaska,904.0
6111099000599,Unknown,lio,900.0
6111024001516,"Huile de table équilibrée riche en vitamines A,E,D3",Lesieur,900.0
6111024002186,Houilor,Huilor,900.0
6111099000582,Lio huile de table,lio,900.0
6111024004746,Huile d'olive vierge de Maroc,ALHORRA,900.0
6111024001530,Huile Lesieur 3 Graines,Lesieur,900.0
