product_name,brands,sugar_to_carb_ratio,energy_kcal
Frylight Sunflower Oil Spray 190ml,Frylight,51249.99999999999,1.0
Mostassa groga clàssica,French's,8723.404255319148,0.0085
Emmental Milbona,Milbona,40.99999999999999,370.0
Assaisonnement au citron,Star,29.28571428571428,1.12
"Gelatina 0% cereza, cola y sandía",HACENDADO,20.499999999999996,1.0
Mozzarella,Hacendado,19.523809523809522,60.9
Spanish Ham Jamón Serrano,Dulano,13.666666666666666,238.0
Beurre Doux Extrafin,Envia / Lidl,10.0,739.0
Vip crema gold,VIP,8.2,0.5
Rillettes de poulet rôti,Bordeau chesnel,8.2,358.0
