code,product_name,brands,sodium
3445850024023,Sel moulu de Guérande,Le Guérandais,34000.0
9352042000328,Vegemite,Bega,3300.0
3036810201280,Dijon Originale,MAILLE,2000.0
8801073110502,Artificial Spicy Chicken Flavor Ramen,Buldak,1630.0
3155250361825,President spreadable lightly salted,"Lactalis, Président",1300.0
6111005054081,Levure chimique en poudre,alsa,1287.0
20034658,Saumon fumé,nautica,1265.0
8480000188175,Salmón al natural,HACENDADO,1200.0
8480000171634,tomate frito receta artesana,Hacendado,900.0
8901491361026,masala munch 10rs,PepsiCo India holdings Pvt.Ltd,892.0
851770007566,"Organic Protein, Vanilla Bean",Orgain,764.70588235294
8001590640258,Philadelphia original,Philadelphia,733.333333333332
20004392,Crinkle Cut Beetroot in Sweetened Vinegar,Freshona,690.0
5202390020407,Greek White,Violife,680.0
5059319026176,Special K dark chocolate,Special K,633.333333333333
4088600072500,Baked Beans,Corale,600.0
633148100013,Chili-Limette,Tajin,569.0
5059697694509,Roast Chicken Breast,TESCO finest,533.333333333332
6111259960084,Unknown,Unknown,500.0
40891699,Соленые огурцы Augurken Cornichons zoetzuur/aigres-doux,Freshona,500.0
8719200269934,Flora Natural Ingredients Lighter,Flora,480.0
20691998,Chocolat noir à la pointe de sel,J.D. Gross,480.0
850251004018,ORIGINAL POPCORN,SKINNY POP,472.22222222222
20621445,Special Flakes Chocolate Noir,Crownfield,460.0
8480000180186,Atún claro al natural,Hacendado,440.0
48121102081,English Muffins,Thomas',431.372549019608
80176800,Unknown,Ferrero,426.666666666668
3400938267266,Unknown,Pipas de la casa,359.2
8434165437418,Cuetara Digesta Light 200G Marie Cookies,Cuétara,340.0
8076809507110,Macine con Panna Fresca,Mulino Bianco,338.461538461538
6194000521895,Choco Tom gaufrettes,Tom,326.0
6111035001024,Oulmès eau minerale naturellement gazeuse,ولماس ماء معدني غازي طبيعي,314.0
6111035003004,Oulmes Eau Gazeuse,Oulmès,313.5
7311070006209,Gifflar,Pågen,304.0
96619885725,Salted Mixed Nuts,Kirkland Signature,303.571428571429
11117780,"Dark chocolate covered pretzels with peppermint pieces, peppermint",Nestlé,283.0
8410184040730,Arroz Basmati,Sabroz,280.0
8715700117140,Zero Tomaten Ketchup,HEINZ,240.0
4056489258353,Yogurt,Milbona,220.0
6291003206122,Roxta,Piccadeli,210.0
16000170032,Cheerios,"General Mills,Cheerios",190.0
16000435094,Original Cheerios,"General Mills,Cheerios",190.0
3068320110097,Badoit rouge,Badoit,180.0
1364008,Tomato Ketchup,Heinz,180.0
13764027053,21 Whole Grains and Seeds Organic Bread,Dave's Killer Bread,170.0
28400090896,Nacho Cheese,"Doritos,Frito Lay",170.0
5900617039262,"Protein Granola - hazelnut, almond, chocolate",Protein Go on,164.0
57000002992,Tomato Ketchup,Heinz,142.24
3760091724632,Pérou grand cru Amazonas 70% note de fruits rouges,ETHIQUABLE,140.0
80177609,Chocolate,Kinder,123.0
